table,project,sponsors,link
???,Any Where,"MLH Best Domain Name from Domain.com, BookHolders Best App/Program Using Internet Sourced Data, Best Hack to Serve College Park , MLH Best Developer Tool, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52139-any-where
???,Battleship,,http://bitcamp16.devpost.com/submissions/52165-battleship
???,Twitch Plays Piano - Table 1,"FINRA Music Challenge, BookHolders Best App/Program Using Internet Sourced Data, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52171-twitch-plays-piano-table-1
???,Pepe Rarity Calculator,"OPIS Best Visualization of Hardware Collected Data, MLH Best Developer Tool, Cipher Tech's Best Digital Forensics Related Hack",http://bitcamp16.devpost.com/submissions/52189-pepe-rarity-calculator
???,Easy Menus in Processing,"MLH Best Developer Tool, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52195-easy-menus-in-processing
???,stock market blast 0.7,FINRA Music Challenge,http://bitcamp16.devpost.com/submissions/52227-stock-market-blast-0-7
???,PiggyPennies,"MLH Best Use of AWS, Best use of Capital One's API, MLH Best Domain Name from Domain.com, Best Use of the SparkPost API, BookHolders Best App/Program Using Internet Sourced Data",http://bitcamp16.devpost.com/submissions/52229-piggypennies
???,Staccato,FINRA Music Challenge,http://bitcamp16.devpost.com/submissions/52235-staccato
???,SquadUp,Best Hack to Serve College Park ,http://bitcamp16.devpost.com/submissions/52238-squadup
???,Oculingo,"Oculus Best Use of VR, Booz Allen Hamilton's Best Internet of Things (IoT) Hack, Best Hack to Serve College Park , MLH Best Beginner Hack, #BestMicrosoftHack",http://bitcamp16.devpost.com/submissions/52239-oculingo
???,Connect Four,,http://bitcamp16.devpost.com/submissions/52241-connect-four
???,Dank Zen Doodler,"MLH Best Domain Name from Domain.com, OPIS Best Visualization of Hardware Collected Data, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52242-dank-zen-doodler
41D,Rockem-Sockem-Oculus,"Oculus Best Use of VR, Northrop Grumman Best User Interface Utilizes Hardware and Software , MLH Best Beginner Hack, #BestMicrosoftHack",http://bitcamp16.devpost.com/submissions/52243-rockem-sockem-oculus
???,Smarter than your average Pikachu,BookHolders Best App/Program Using Internet Sourced Data,http://bitcamp16.devpost.com/submissions/52244-smarter-than-your-average-pikachu
???,TuneCrypter,"MLH Best Domain Name from Domain.com, FINRA Music Challenge, Cipher Tech's Best Digital Forensics Related Hack",http://bitcamp16.devpost.com/submissions/52245-tunecrypter
???,PebbleBlogger,"MLH Best Use of AWS, Booz Allen Hamilton's Best Internet of Things (IoT) Hack",http://bitcamp16.devpost.com/submissions/52249-pebbleblogger
